City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
157,Santa Rosa,PH,2021-08-08 23:59:55,14.3122,121.1114,overcast clouds,85.08,75,93,6.69
158,Trofors,NO,2021-08-08 23:59:55,65.5333,13.4063,overcast clouds,61.95,93,100,3.49
159,Bonavista,CA,2021-08-08 23:49:45,48.6499,-53.1147,broken clouds,56.12,76,76,16.4
160,Kailua,US,2021-08-08 23:57:44,21.4022,-157.7394,few clouds,85.06,66,20,15.12
161,Puerto Gaitan,CO,2021-08-08 23:59:56,4.3133,-72.0816,scattered clouds,80.44,75,50,1.61
162,Cabo San Lucas,MX,2021-08-08 23:57:01,22.8909,-109.9124,overcast clouds,92.05,69,91,1.01
163,Tlaxco,MX,2021-08-08 23:59:57,19.6167,-98.1167,overcast clouds,58.12,87,93,6.6
164,Nanortalik,GL,2021-08-08 23:58:55,60.1432,-45.2371,scattered clouds,42.93,92,36,12.5
165,Tura,IN,2021-08-08 23:59:57,25.5198,90.2201,overcast clouds,75.0,98,97,5.73
166,Teya,RU,2021-08-08 23:58:15,60.3778,92.6267,broken clouds,61.23,70,52,2.42
167,Los Llanos De Aridane,ES,2021-08-08 23:59:01,28.6585,-17.9182,overcast clouds,67.75,94,90,9.22
168,Tamayo,DO,2021-08-08 23:59:58,18.3947,-71.2029,scattered clouds,82.11,74,40,16.11
169,Ucluelet,CA,2021-08-08 23:56:32,48.9329,-125.5528,few clouds,80.04,71,14,4.88
170,Cidreira,BR,2021-08-08 23:50:29,-30.1811,-50.2056,clear sky,60.22,91,1,10.69
171,Yilan,TW,2021-08-08 23:59:58,24.757,121.753,broken clouds,87.08,79,79,1.03
172,New Norfolk,AU,2021-08-08 23:57:23,-42.7826,147.0587,scattered clouds,52.92,79,40,1.01
173,Sechura,PE,2021-08-08 23:59:59,-5.5569,-80.8222,clear sky,66.74,69,5,17.31
174,Mackay,AU,2021-08-08 23:59:59,-21.15,149.2,scattered clouds,73.04,68,33,13.8
175,Longkou,CN,2021-08-08 23:59:59,37.6508,120.3286,light rain,77.88,65,100,1.28
176,Narsaq,GL,2021-08-08 23:59:59,60.9167,-46.05,clear sky,43.2,78,10,5.39
177,Coquimbo,CL,2021-08-09 00:00:00,-29.9533,-71.3436,few clouds,55.13,82,20,6.91
178,Fujin,CN,2021-08-09 00:00:00,47.26,132.0322,overcast clouds,57.27,81,100,10.67
179,Isangel,VU,2021-08-08 23:49:25,-19.55,169.2667,broken clouds,75.31,64,75,11.5
180,Nikolskoye,RU,2021-08-08 23:57:42,59.7035,30.7861,overcast clouds,63.01,97,99,4.92
181,Inuvik,CA,2021-08-09 00:00:01,68.3499,-133.7218,scattered clouds,58.75,40,45,2.77
182,Torbay,CA,2021-08-09 00:00:01,47.6666,-52.7314,light intensity shower rain,55.27,92,90,14.97
183,Port Elizabeth,ZA,2021-08-08 23:58:27,-33.918,25.5701,clear sky,57.49,82,0,8.05
184,Airai,TL,2021-08-09 00:00:03,-8.9266,125.4092,few clouds,65.44,62,22,3.0
185,Nome,US,2021-08-08 23:50:38,64.5011,-165.4064,overcast clouds,59.07,68,90,19.57
186,Half Moon Bay,US,2021-08-08 23:50:20,37.4636,-122.4286,few clouds,92.75,71,20,1.01
187,Mindszent,HU,2021-08-09 00:00:06,46.5236,20.1904,moderate rain,71.96,70,100,5.1
188,Valley City,US,2021-08-09 00:00:07,46.9233,-98.0032,clear sky,88.54,54,1,9.22
189,Ulagan,RU,2021-08-09 00:00:08,50.6321,87.9563,scattered clouds,55.09,78,25,1.81
190,Boali,CF,2021-08-09 00:00:09,4.8005,18.1275,light rain,68.72,97,62,2.15
191,Cap Malheureux,MU,2021-08-08 23:57:53,-19.9842,57.6142,light rain,68.49,90,90,3.0
192,Olinda,BR,2021-08-08 23:59:05,-8.0089,-34.8553,broken clouds,74.93,88,75,9.22
193,Tocache,PE,2021-08-09 00:00:10,-8.1842,-76.5125,scattered clouds,77.27,63,35,1.61
194,Playas,EC,2021-08-09 00:00:11,-2.6333,-80.3833,scattered clouds,70.61,86,33,12.57
195,Codrington,AU,2021-08-08 23:55:20,-38.2667,141.9667,overcast clouds,52.68,72,98,13.65
196,Mumford,GH,2021-08-09 00:00:12,5.2618,-0.759,broken clouds,74.68,92,72,10.29
197,Ancud,CL,2021-08-09 00:00:12,-41.8697,-73.8203,few clouds,43.43,85,13,4.32
198,Bull Savanna,JM,2021-08-09 00:00:13,17.8868,-77.5902,light rain,79.03,76,21,1.39
199,Paciran,ID,2021-08-09 00:00:14,-6.8767,112.3761,scattered clouds,79.68,83,33,8.43
200,Palembang,ID,2021-08-09 00:00:15,-2.9167,104.7458,haze,77.09,94,20,3.44
201,Gamba,GA,2021-08-09 00:00:15,-2.65,10.0,scattered clouds,71.26,88,49,5.5
202,Guerrero Negro,MX,2021-08-08 23:58:58,27.9769,-114.0611,clear sky,76.71,65,4,16.06
203,Talnakh,RU,2021-08-09 00:00:16,69.4865,88.3972,clear sky,62.76,58,1,3.13
204,Fortuna,US,2021-08-09 00:00:16,40.5982,-124.1573,few clouds,87.19,66,20,4.0
205,Madera,US,2021-08-08 23:58:53,37.1666,-119.8343,clear sky,101.77,9,0,5.19
